"numer_kolumny";"nazwa_kolumny";"opis_kolumny"
469;"bf9.6p";"ma zmywarke do naczyn"
470;"bf9.6f";"brak na zmywarke do naczyn"
471;"bf9.7p";"ma kuchenke mikrofalowa"
472;"bf9.7f";"brak na kuchenke mikrofalowa"
473;"bf9.8p";"ma telewizor"
474;"bf9.8i";"Ile telewizorow ma"
475;"bf9.8f";"brak na telewizor"
476;"bf9.9p";"ma TV satelitarna lub telewizje kablowa"
477;"bf9.9f";"brak na TV satelitarna lub telewizje kablowa"
478;"bf9.10p";"ma magnetowid (wideo, odtwarzacz)"
479;"bf9.10f";"brak na magnetowid (wideo, odtwarzacz)"
480;"bf9.11p";"ma radiomagnetofon"
481;"bf9.11f";"brak na radiomagnetofon"
482;"bf9.12p";"ma odtwarzacz plyt kompaktowych"
483;"bf9.12f";"brak na odtwarzacz plyt kompaktowych"
484;"bf9.13p";"ma komputer (laptop, notebook)"
485;"bf9.13i";"Ile ma komputerow"
486;"bf9.13f";"brak na komputer (laptop, notebook)"
487;"bf9.14p";"ma samochod osobowy (osobowo-dostawczy)"
488;"bf9.14i";"Ile ma samochodow"
489;"bf9.14f";"brak na samochod osobowy (osobowo-dostawczy)"
490;"bf9.15p";"ma lodz motorowa, zaglowa"
491;"bf9.15f";"brak na lodz motorowa, zaglowa"
492;"bf9.16p";"ma dzialke rekreacyjna"
493;"bf9.16f";"brak na dzialke rekreacyjna"
494;"bf9.17p";"ma domek letniskowy"
495;"bf9.17f";"brak na domek letniskowy"
496;"bf9.18p";"ma dostep do Internetu"
497;"bf9.18f";"brak na dostep do Internetu"
498;"bf10";"Planuje zakup komputera"
499;"bf11";"sytuacja materialna w porownaniu do sytuacji sprzed trzech"
500;"bg1";"Czy Pana(i) gospodarstwo domowe uzytkuje mieszkanie samodzie"
501;"bg2";"Ile izb ma Pana(i) gospodarstwo wylacznie lub wspolnie z inn"
502;"bg3";"Jaka jest powierzchnia uzytkowa calego mieszkania w m2"
503;"bg4";"Jaka jest powierzchnia uzytkowa mieszkania zajmowanego przez"
504;"bg5";"Tytul uzytkowania mieszkania"
505;"bg6.1";"wodociag"
506;"bg6.2";"Ustep splukiwany woda biezaca"
507;"bg6.3";"lazienka z wanna lub prysznicem"
508;"bg6.4";"ciepla woda biezaca"
509;"bg6.5";"gaz z sieci"
510;"bg6.6";"gaz z butli"
511;"bg6.7";"telefon stacjonarny"
512;"bg7";"Sposob ogrzewania mieszkania"
513;"bg8.1";"Zalega z oplatami za mieszkanie (czynsz)"
514;"bg8.2";"Zalega z oplatami za gaz, energie elektryczna"
515;"bg8.3";"Zalega ze splata kredytu mieszkaniowego"
516;"bg9";"Czy gospodarstwo domowe otrzymuje w tym lub poprzednim roku"
517;"bg10.1";"dodatek mieszkaniowy z Urzedu Gminy"
518;"bg10.2";"zasilek z pomocy spolecznej"
519;"bg10.3";"inne formy pomocy"
520;"bg11";"Czestotliwosc otrzymywanej pomocy"
521;"bg12";"Czy poprawily sie/pogorszyly warunki mieszkaniowe"
522;"bh1";"Czy gospodarstwo otrzymuje pomoc"
523;"bh2.1";"pomoc finansowa"
524;"bh2.2";"pomoc rzeczowa"
525;"bh2.3";"pomoc w formie uslug"
526;"bh3.1";"pomoc z osrodki pomocy spolecznej"
527;"bh3.2";"pomoc od rodziny w kraju"
528;"bh3.3";"pomoc od rodziny za granica"
529;"bh3.4";"pomoc od znajomych lub przyjacol"
530;"bh3.5";"pomoc od organizacji charytatywnych swieckich"
531;"bh3.6";"pomoc od organizacji wyznaniowej lub parafii"
532;"bh3.7";"pomoc od zwiazku zawodowego lub zakladu pracy"
533;"bh3.8";"pomoc od powiatowego centrum pomocy rodzinie"
534;"bh3.9";"pomoc z innego zrodla"
535;"bi1";"Czy jest dziecko, ktore ukonczylo szkole podstawowa lub z.z."
536;"bi21";"Pierwsza przyczyna przerwania nauki na pozimie co najwyzej z"
537;"bi22";"Druga przyczyna przerwania nauki na pozimie co najwyzej zasa"
538;"bi23";"Trzecia przyczyna przerwania nauki na pozimie co najwyzej za"
539;"bi3";"Czy jest dziecko, ktore ukonczylo szkole srednia i dalej sie"
540;"bi41";"Pierwsza przyczyna przerwania nauki na pozimie srednim"
541;"bi42";"Druga przyczyna przerwania nauki na pozimie srednim"
542;"bi43";"Trzecia przyczyna przerwania nauki na pozimie srednim"
543;"bi5";"Zainteresowanie wykupieniem ubezpieczenia posagowego"
544;"bi6";"Mozliwa wysokosc skladki ubezpieczenia"
545;"bi7";"Dlaczego nie zainteresowany(-a)"
546;"bi8.1";"Byl zmuszony do zrezygnowania z posylania dziecka do szkoly?"
547;"bi8.2";"Byl zmuszony do zrezygnowania z podjecia przez dziecko zajec"
548;"bi8.3";"Byl zmuszony do ograniczenia lub zawieszenia wplat na szkole"
549;"bi8.4";"Byl zmuszony do zrezygnowania z korzystania przez dziecko z"
550;"bi8.5";"Byl zmuszony do zrezygnowania z dania dziecku korepetycji?"
551;"bi8.6";"Byl zmuszony do zmiany szkoly na tansza?"
552;"bi8.7";"Byl zmuszony do innych ograniczen?"
553;"bi11";"Czy dzieci korzystaly w obecnym roku szk.z pomocy spolecznej"
554;"bi12.1";"pomoc organizowana w szkole przez osrodki pomocy spolecznej"
555;"bi12.2";"pomoc organizowana w szkole przez panstwowe zrodla pomocy"
556;"bi12.3";"pomoc organizowana w szkole przez organizacje charytatywne s"
557;"bi12.4";"pomoc organizowana w szkole przez organizacje charytatywne w"
558;"bi12.5";"pomoc organizowana w szkole przez zakladowy fundusz socjalny"
559;"bi12.6";"pomoc organizowana w szkole przez powiatowe centrum pomocy r"
560;"bi12.7";"pomoc organizowana w szkole przez komitet rodzicielski"
561;"bi12.8";"pomoc organizowana w szkole przez inne zrodla pomocy"
562;"bj1.1";"Musial zrezygnowac z kina"
563;"bj1.2";"Musial zrezygnowac z teatru, opery, operetki, filharmonii, k"
564;"bj1.3";"Musial zrezygnowac z muzeum lub wystawy"
565;"bj1.4";"Musial zrezygnowac z zakupu ksiazki"
566;"bj1.5";"Musial zrezygnowac z zakupu prasy (gazet, tygodnikow, miesie"
567;"bj2.1";"Musial zrezygnowac z wyjazdow dzieci"
568;"bj2.2";"Musial zrezygnowac z urlopu, wyjazdow doroslych"
569;"bj2.3";"Musial zrezygnowac z wyjazdow rodzinnych (dorosli i dzieci)"
570;"bj3";"zaspokojenie potrzeb zwiazanych z kultura i wypoczynkiem w p"
571;"bk1";"Czy w ostatnim roku Pan lub inny czlonek g.d. zmienil lekarz"
572;"bk2.1";"nowy przyjmuje blizej domu"
573;"bk2.2";"poprzedni odszedl z pracy"
574;"bk2.3";"nowy lepiej traktuje pacjentow"
575;"bk2.4";"poprzedni poswiecal pacjentom zbyt malo czasu"
576;"bk2.5";"nowy cieszy sie lepsza opinia"
577;"bk2.6";"nowy ma wieksza mozliwosc ulatwienia dostepu do innych swia"
578;"bk2.7";"w miejscu pracy nowego lekarza jest lepsze wyposazenie"
579;"bk2.8";"do nowego lekarza pierwszego kontaktu latwiej sie dostac"
580;"bk2.9";"inne powody"
581;"bk3.1";"korzystal z placowek sluzby zdrowia oplacanych przez kase ch"
582;"bk3.2";"korzystal z placowek, w ktorych trzeba placic z wlasnej kies"
583;"bk3.3";"Korzystal z placowek oplacanych przez pracodawce"
584;"bk4.1";"Czy ktokolwiek przebywal w ostatnim roku w szpitalu prywatny"
585;"bk4.2";"Czy ktokolwiek przebywal w ostatnim roku w szpitalu publiczn"
586;"bk5.1";"za leczenie w szpitalu placili sami Panstwo"
587;"bk5.2";"za leczenie w szpitalu placili kasa chorych"
588;"bk5.3";"za leczenie w szpitalu placili pracodawca, ktory wykupil abo"
589;"bk6.1";"Byl u prywatnego ogolnego"
590;"bk6.2";"Byl u prywatnego specjalisty"
591;"bk6.3";"Byl u publicznego ogolnego"
592;"bk6.4";"Byl u publicznego specjalisty"
593;"bk7.1";"placili sami Panstwo"
594;"bk7.2";"Placili kasa chorych"
595;"bk7.3";"placili pracodawca, ktory wykupil abonament"
596;"bk8.1";"brakuje srodkow na oplacenie takich badan"
597;"bk8.2";"badania nie sa potrzebne"
598;"bk8.3";"zleci je specjalista, do ktorego zostal(a) Pan(i) skierowan"
599;"bk8.4";"lepiej wykonac je w czasie pobytu w szpitalu"
600;"bk8.5";"nie skierowal i nie wyjasnil dlaczego"
601;"bk8.6";"nie pamietam, nie wiem, nie bylo w ogole mowy o badaniach d"
602;"bk8.7";"skierowal"
603;"bk9.1";"informacje o dobrej jakosci pracy specjalisty"
604;"bk9.2";"sugestie lekarza wystawiajacego skierowanie"
605;"bk9.3";"bliskosc miejsca zamieszkania"
606;"bk9.4";"dogodnosc czasu przyjec przez specjaliste"
607;"bk9.5";"pracowal w szpitalu, w ktorym planowano leczenie"
608;"bk9.6";"pracowal w szpitalu, w ktorym wczesniej sie leczyl"
609;"bk9.7";"wczesniej juz sie ta osoba leczyla u niego"
610;"bk9.8";"nie pamietam/ trudno powiedziec"
611;"bk10.1";"byl w ciagu ostatnich 3 miesiecy u dentysty w prywatnych pla"
612;"bk10.2";"byl w ciagu ostatnich 3 miesiecy u dentysty w publicznych pl"
613;"bk11.1";"Placili u dentysty sami"
614;"bk11.2";"Placila u dentysty kasa chorych"
615;"bk11.3";"Placil u dentysty pracodawca, ktory wykupil abonament"
616;"bk12.1";"gospodarstwo wydalo w 3 mc na uslug w zakresie ambulatoryjne"
617;"bk12.2";"gospodarstwo wydalo w 3 mc na oplaty nieformalne"
618;"bk12.3";"gospodarstwo wydalo w 3 mc na prezenty jako dowod szczerej w"
619;"bk12.4";"gospodarstwo wydalo w 3 mc na leczenie w szpitalu, z wlasnej"
620;"bk12.5";"gospodarstwo wydalo w 3 mc w szpitalu publicznym"
621;"bk13";"ile w sumie wydano w 3 mc na leki i inne artykuly farmaceuty"
622;"bk14.1";"nie starczylo pieniedzy na realizacje recept lub wykupienie"
623;"bk14.2";"z powodu braku pieniedzy nie leczyli Panstwo zebow, mimo ze"
624;"bk14.3";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z uzysk"
625;"bk14.4";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z wizyt"
626;"bk14.5";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z badan"
627;"bk14.6";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z zabie"
628;"bk14.7";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z wyjaz"
629;"bk14.8";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z lecze"
630;"bk15.1";"zwrociliscie sie do lekarza z prosba o przepisanie innych le"
631;"bk15.2";"postaraliscie sie o dodatkowe pieniadze na wykupienie lekow"
632;"bk15.3";"zrezygnowaliscie z wykupienia lekow"
633;"bk15.4";"skorzystaliscie z opieki szpitalnej, gdzie zapewniono leki n"
634;"bk15.5";"skorzystaliscie z rady aptekarza i wykupiliscie tansze leki"
635;"bk16";"Czy w porownaniu do sytuacji sprzed trzech lat zaspokojenie"
636;"bk17";"Czy ma informacje o zasadach korzystania ze sluzby zdrowia,"
637;"bk18.2";"Czy zrezygnowano z powodu niemozliwosci uzyskania zaswiadczen"
638;"bk18.1";"Czy zrezygnowano w obawie o dodatkowe oplaty"
639;"bk19";"Korzystali z placowek sluzby zdrowia, w ktorych trzeba placic z wlasnej kieszeni"
640;"bk20";"Ile na dobrowolne ubezpieczenie zdrowotne"
641;"bk21";"Dostep do lekarzy i placowek sluzby zdrowia finansowanych ze srodkow publicznych"
642;"bk22.1";"mozna zapisac sie z wyprzedzeniem"
643;"bk22.2";"mozna zapisac sie telefonicznie"
644;"bk22.3";"wizyty sa na umowiona godzine bez oczekiwania"
645;"bk22.4";"dogodniejsze, wydluzone godziny przyjec"
646;"bk22.5";"mozna poradzic sie lekarza przez telefon"
647;"bk22.6";"ekarzom bardziej zalezy na zatrzymaniu pacjentow"
648;"bk22.7";"skrocil sie czas oczekiwania na miejsce w szpitalu"
649;"bk23";"ocena dotychczasowego zycia"
650;"bl1";"Ile wyniosl dochod netto w zl. w poprzednim miesiacu"
651;"bl2";"Dochody gosp.w poprz.mies.w por.z innymi przec.mies."
652;"bl3";"ile wyniosl przecietny miesieczny dochod netto w zl w 2002"
653;"bl4";"Czy gospodarstwo wiaze koniec z koncem?"
654;"bl5";"Jaki jest najnizszy miesieczny dochod netto w zl. potrzebny"
655;"bl6";"Jaki dochod netto gospodarstwa gwarantuje satysfakcjonujacy"
656;"bl7";"Sposob gospodarowania dochodem"
657;"bl8";"Czy stale dochody Pana gospodarstwa pozwalaja na zaspokojeni"
658;"bl9.1";"Gdy brak dochodow: wykorzystuje zgromadzone oszczednosci"
659;"bl9.2";"Gdy brak dochodow: wyzbywa sie posiadanego majatku lub oddaj"
660;"bl9.3";"Gdy brak dochodow: ogranicza biezace potrzeby"
661;"bl9.4";"Gdy brak dochodow: zaciaga pozyczki, kredyty"
662;"bl9.5";"Gdy brak dochodow: korzysta z pomocy krewnych"
663;"bl9.6";"Gdy brak dochodow: korzysta z pomocy kosciola"
664;"bl9.7";"Gdy brak dochodow: korzysta z pomocy opieki spolecznej"
665;"bl9.8";"Gdy brak dochodow: czlonek gospodarstwa podejmuje dodatkowa"
666;"bl9.9";"Gdy brak dochodow: podejmuje inne dzialania"
667;"bl9.10";"Gdy brak dochodow: nie podejmuje zadnych dzialan"
668;"bl10.1";"Ma ubezpieczenie OC posiadacza pojazdu"
669;"bl10.2";"Ma ubezpieczenie AutoCasco"
670;"bl10.3";"Ma ubezpieczenie OC dotyczace dzialalnosci rolniczej"
671;"bl10.4";"ubezpieczenie budynkow gospodarstwa rolnego"
672;"bl10.5";"Ma ubezpieczenie mieszkania (domu)"
673;"bl10.6";"Ma ubezpieczenie na zycie"
674;"bl10.7";"Ma ubezpieczenie na zycie z funduszem inwestycyjnym"
675;"bl10.8";"Ma ubezpieczenie posagowe, zaopatrzenia dzieci"
676;"bl10.9";"Ma ubezpieczenie rentowe"
677;"bl10.10";"Ma ubezpieczenie nastepstw nieszczesliwych wypadkow"
678;"bl10.11";"Ma ubezpieczenie chorobowe"
679;"bl10.12";"Ma ubezpieczenie kredytu"
680;"bl10.13";"Ma ubezpieczenie OC w zyciu prywatnym"
681;"bl10.14";"Ma ubezpieczenie OC z tytulu wykonywanego zawodu"
682;"bl10.15";"Ma ubezpieczenie OC z tytulu prowadzenia dzialalnosci gospod"
683;"bl10.16";"Ma ubezpieczenie rolnicze (upraw)"
684;"bl11.1";"Powod ubezp.: obowiazek ubezpieczenia"
685;"bl11.2";"Powod ubezp.: obawa o przyszlosc rodziny (gospodarstwa domow"
686;"bl11.3";"Powod ubezp.: nieszczesliwe zdarzenie w zyciu rodziny (znajo"
687;"bl11.4";"Powod ubezp.: sugestia, rada znajomych"
688;"bl11.5";"Powod ubezp.: reklama"
689;"bl11.6";"Powod ubezp.: namowa agenta ubezpieczeniowego"
690;"bl11.7";"Powod ubezp.: inne przyczyny"
691;"bl12.1";"Z powodu kredytu: ubezpieczenie na zycie"
692;"bl12.2";"Z powodu kredytu: ubezpieczenie AutoCasco samochodu"
693;"bl12.3";"Z powodu kredytu: ubezpieczenie mieszkania (domu)"
694;"bl13";"Sytuacja dochodowa w porownaniu do sytuacji sprzed trzech"
695;"bl14.1";"Rezygnacja z oszczedzania"
696;"bl14.2";"Rezygnacja z zakupow"
697;"bl14.3";"Rezygnacja z posiadanych ubezpieczen"
698;"bl15.1";"W okresie 3 lat zwiekszylo oszczednosci"
699;"bl15.2";"W okresie 3 lat zwiekszylo zakupy"
700;"bl15.3";"W okresie 3 lat wykupilo nowe lub dodatkowe ubezpieczenie"
701;"bl16.1";"na co przeznaczone by zostaly dodatkowe pieniadze 1 odp"
702;"bl16.2";"na co przeznaczone by zostaly dodatkowe pieniadze 2 odp"
703;"bm1";"czy z komputera domowego mozna korzystac z internetu?"
704;"bm2.1";"brak odpowiedniego sprzetu"
705;"bm2.2";"wystarczajace mozliwosci korzystania z Internetu gdzie indz"
706;"bm2.3";"Internet nie jest potrzebny, nie ma nic ciekawego do zaofer"
707;"bm2.4";"obawa o prywatnosc w Internecie"
708;"bm2.5";"Internet moze byc szkodliwy, np. moze demoralizowac dzieci,"
709;"bm2.6";"zbyt duze koszty dostepu"
710;"bm2.7";"inny"
711;"bm3";"Czy bedzie dostep do Internetu?"
712;"bm4.1";"telefon stacjonarny (TPSA)"
713;"bm4.2";"telefon stacjonarny (nie TPSA)"
714;"bm4.3";"telewizja kablowa"
715;"bm4.4";"telefon komorkowy"
716;"bm4.5";"dekoder telewizyjny"
717;"bm4.6";"polaczenie radiowe"
718;"bm4.7";"w inny sposob"
719;"bm4.8";"nie wiem"
720;"bm5";"podac rok podlaczenia (dwie cyfry ?)"
721;"bm6";"Czy Pana(i) dziecko/dzieci uzywa(ja) komputera w domu lub po"
722;"bm7";"Czy Pana(i) dziecko/dzieci korzysta(ja) z Internetu w domu l"
723;"bm8k";"Godziny z komputerem"
724;"bm8i";"Godziny w Internecie"
725;"bm9";"Zadowolenie/zaniepokojenie jak i ile dzieci korzystaja z internetu"
726;"bTypGD";"typ rodziny biologicznej 2003"
727;"bNCUb";"Liczba jednostek konsumpcyjnych w gosp.dom 2003"
728;"ca0";"symbol statusu gospodarstwa w badaniu"
729;"ca4.2";"ktory raz w badaniu"
730;"ca5";"symbol zrodla utrzymania gospodarstwa domowego"
731;"ce1.1";"stac na: warzywa i przetworywarzywne"
732;"ce1.2";"stac na: owoce i przetwory owocowe"
733;"ce1.3";"stac na: mieso (w tym drob)"
734;"ce1.4";"stac na: przetworymiesne i drobiowe"
735;"ce1.5";"stac na: ryby i przetwory rybne"
736;"ce1.6";"stac na: maslo i inne tluszcze jadalne"
737;"ce1.7";"stac na: mleko"
738;"ce1.8";"stac na: przetworymleczne"
739;"ce1.9";"stac na: cukier"
740;"ce1.10";"stac na: wyroby cukiernicze"
741;"ce1.11";"stac na: uzywki"
742;"ce2";"zaspokojenie potrzeb zywnosciowych"
743;"cf1";"Czy Pana(i) gospodarstwo domowe posiada jakies oszczednosci?"
744;"cf2.1";"fma oszcz:lokatyw bankach w zlotych"
745;"cf2.2";"fma oszcz:lokatyw bankach w walutach obcych"
746;"cf2.3";"fma oszcz:w obligacjach"
747;"cf2.4";"fma oszcz:w funduszach inwestycyjnych"
748;"cf2.5";"fma oszcz:Indywidualne Konto Emerytalne"
749;"cf2.6";"fma oszcz:w papierach wartosciow na gieldzie"
750;"cf2.7";"fma oszcz:udzialy oraz akcje w pryw spolkach"
751;"cf2.8";"fma oszcz:lokatyw nieruchomosciach"
752;"cf2.9";"fma oszcz:lokatyw innych niz nieruch dobrach materialnych"
753;"cf2.10";"fma oszcz:w gotowce"
754;"cf2.11";"fma oszcz:w innej formie"
755;"cf3";"wartosc posiadanych przez gospodarstwo domowe oszczednosci"
756;"cf4.1";"cel osz:rezerwa na biezace wydatki konsumpcyjne"
757;"cf4.2";"cel osz:stale oplaty (np. mieszkaniowe)"
758;"cf4.3";"cel osz:zakup dobr trwalego uzytku"
759;"cf4.4";"cel osz:zakup domu, zakup mieszkania, wklad"
760;"cf4.5";"cel osz:remont domu, mieszkania"
761;"cf4.6";"cel osz:leczenie"
762;"cf4.7";"cel osz:wypoczynek"
763;"cf4.8";"cel osz:rezerwa na sytuacje losowe"
764;"cf4.9";"cel osz:zabezpieczenie przyszlosci dzieci"
765;"cf4.10";"cel osz:zabezpieczenie na starosc"
766;"cf4.11";"cel osz:na inne cele"
767;"cf4.12";"cel osz:bez specjalnego przeznaczenia"
768;"cf5";"Czy Pana(i) gospodarstwo domowe ma obecnie do splacenia pozyczki lub kredyty?"
769;"cf6.1";"pozyczki i kredyty:w bankach"
770;"cf6.2";"pozyczki i kredyty:w innych instytucjach"
771;"cf6.3";"pozyczki i kredyty:u osob prywatnych"
772;"cf7";"Ile wynosi lacznie zadluzenie Pana(i) gospodarstwa domowego?"
773;"cf8.1";"poz kred:na biezace wydatki konsumpcyjne"
774;"cf8.2";"poz kred:stale oplaty (np. mieszkaniowe)"
775;"cf8.3";"poz kred:zakup dobr trwalego uzytku"
776;"cf8.4";"poz kred:zakup domu, zakup mieszkania, wklad"
777;"cf8.5";"poz kred:remont domu, mieszkania"
778;"cf8.6";"poz kred:leczenie"
779;"cf8.7";"poz kred:zakup, dzierzawa narzedzi pracy"
780;"cf8.8";"poz kred:wypoczynek"
781;"cf8.9";"poz kred:zakup papierow wartosciowych"
782;"cf8.10";"poz kred:splata wczesniejszych dlugow"
783;"cf8.11";"poz kred:rozwoj wlasnej dzialalnosci gosp"
784;"cf8.12";"poz kred:ksztalcenie"
785;"cf8.13";"poz kred:inne cele"
786;"cf9p.1";"posiada:garaz"
787;"cf9p.2";"posiada:pralke automatyczna"
788;"cf9p.3";"posiada:chlodziarke (chlodziarko-zamrazarke)"
789;"cf9p.4";"posiada:zamrazarke"
790;"cf9p.5";"posiada:zmywarke do naczyn"
791;"cf9p.6";"posiada:kuchenke mikrofalowa"
792;"cf9p.7";"posiada:telewizor"
793;"cf9p.8";"posiada:telewizje satelitarna"
794;"cf9p.9";"posiada:telewizje kablowa"
795;"cf9p.10";"posiada:magnetowid"
796;"cf9p.11";"posiada:odtwarzacz DVD"
797;"cf9p.12";"posiada:nagrywarke DVD"
798;"cf9p.13";"posiada:odtwarzacz plyt kompaktowych"
799;"cf9p.14";"posiada:odtwarzacz MP3"
800;"cf9p.15";"posiada:komputer stacjonarny"
801;"cf9p.16";"posiada:komputer przenosny (laptop, notebook"
802;"cf9p.17";"posiada:samochod osobowy (osobowo-dostawczy)"
803;"cf9p.18";"posiada:dostep do Internetu w domu"
804;"cf9p.19";"posiada:telefon stacjonarny"
805;"cf9p.20";"posiada:fax TAK NIE TAK NIE"
806;"cf9p.21";"posiada:lodz motorowa, zaglowa"
807;"cf9p.22";"posiada:dzialke rekreacyjna"
808;"cf9p.23";"posiada:dom letniskowy"
809;"cf9i.7";"ile:telewizor"
810;"cf9i.15";"ile:komputer stacjonarny"
811;"cf9i.16";"ile:komputer przenosny (laptop, notebook"
812;"cf9i.17";"ile:samochod osobowy (osobowo-dostawczy)"
813;"cf9i.19";"ile:telefon stacjonarny"
814;"cf9f.1";"brak fin:garaz"
815;"cf9f.2";"brak fin:pralke automatyczna"
816;"cf9f.3";"brak fin:chlodziarke (chlodziarko-zamrazarke)"
817;"cf9f.4";"brak fin:zamrazarke"
818;"cf9f.5";"brak fin:zmywarke do naczyn"
819;"cf9f.6";"brak fin:kuchenke mikrofalowa"
820;"cf9f.7";"brak fin:telewizor"
821;"cf9f.8";"brak fin:telewizje satelitarna"
822;"cf9f.9";"brak fin:telewizje kablowa"
823;"cf9f.10";"brak fin:magnetowid"
824;"cf9f.11";"brak fin:odtwarzacz DVD"
825;"cf9f.12";"brak fin:nagrywarke DVD"
826;"cf9f.13";"brak fin:odtwarzacz plyt kompaktowych"
827;"cf9f.14";"brak fin:odtwarzacz MP3"
828;"cf9f.15";"brak fin:komputer stacjonarny"
829;"cf9f.16";"brak fin:komputer przenosny (laptop, notebook"
830;"cf9f.17";"brak fin:samochod osobowy (osobowo-dostawczy)"
831;"cf9f.18";"brak fin:dostep do Internetu w domu"
832;"cf9f.19";"brak fin:telefon stacjonarny"
833;"cf9f.20";"brak fin:fax TAK NIE TAK NIE"
834;"cf9f.21";"brak fin:lodz motorowa, zaglowa"
835;"cf9f.22";"brak fin:dzialke rekreacyjna"
836;"cf9f.23";"brak fin:dom letniskowy"
837;"cf10m";"komp:modernizacja"
838;"cf10z";"komp:zakup"
839;"cf11";"od kiedy jest komp"
840;"cf12.1";"komp:mikrofon"
841;"cf12.2";"komp:kamere internetowa"
842;"cf12.3";"komp:nagrywarke CD"
843;"cf12.4";"komp:skaner"
844;"cf12.5";"komp:drukarke"
845;"cf12.6";"komp:tuner TV"
846;"cf13";"w porownaniu do sytuacji z przed 2 lat sytuacja materialna"
847;"cg1";"Czy Pana(i) gospodarstwo domowe uzytkuje mieszkanie samodzielnie?"
848;"cg2";"Ile izb"
849;"cg3";"Jaka jest powierzchnia uzytkowa mieszkania"
850;"cg4.1";"wodociag"
851;"cg4.2";"ustep splukiwanywoda biezaca"
852;"cg4.3";"lazienka z wanna lub prysznicem"
853;"cg4.4";"ciepla woda biezaca"
854;"cg4.5";"gaz z sieci"
855;"cg4.6";"gaz z butli"
856;"cg5";"ogrzewanie"
857;"cg6.1";"zalega z:oplatami za mieszkanie (czynsz)"
858;"cg6.2";"zalega z:oplatami za gaz, energie elektryczna"
859;"cg6.3";"zalega z:splata kredytu mieszkaniowego"
860;"cg7";"w stosunku do sytuacji sprzed dwoch lat warunki mieszkaniowe"
861;"ch1";"Czy gospodarstwo otrzymuje pomoc:"
862;"ch2.1";"pomoc:finansowa"
863;"ch2.2";"pomoc:rzeczowa"
864;"ch2.3";"pomoc:w formie uslug"
865;"ci1.1";"stypendium socjalnego"
866;"ci1.2";"stypendium z tyt. wynikow w nauce"
867;"ci1.3";"stypendium z Europejskiego Funduszu Spolecznego"
868;"ci2";"dziecko ukonczylo liceum, technikum lub szkole zasadniczai dalej sie nie uczy"
869;"ci4";"Czy uczace sie dzieci maja w domu wlasne miejsce do nauki"
870;"ci5";"Czy zainteresowany(a) zakupem ubezpieczenia posagowego z celem edukacyjnym"
871;"ci6";"Jaka skladke miesieczna moglby(moglaby) Pan(i) placic na posagowe ubezpieczenie edukacyjne?"
872;"ci7";"Ubezp edu: Dlaczego nie jest Pan(i) zainteresowany(a)?"
873;"ci8";"Jaka skladke miesieczna placi Pan(i) na posagowe ubezpieczenie edukacyjne?"
874;"ci11";"w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb Pana(i) gospodarstwa domowego zwiazanych z ksztalceniem dzieci:"
875;"cj1.1";"rezygnacja z:kina"
876;"cj1.2";"rezygnacja z:teatru, opery, operetki, filharm"
877;"cj1.3";"rezygnacja z:muzeum lub wystawy"
878;"cj1.4";"rezygnacja z:zakupu ksiazki"
879;"cj1.5";"rezygnacja z:zakupu prasy"
880;"cj2.1";"Ile w domu:ksiazek"
881;"cj2.2";"Ile w domu:nosnikow z filmami"
882;"cj2.3";"Ile w domu:nosnikow z muzyka"
883;"cj3";"w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb Pan(i) gospodarstwa domowego zwiazanych z kultura:"
884;"cj4.1";"rezygnacja z: kolonii, obozu, innych wyjazdow"
885;"cj4.2";"rezygnacja z: urlopu, wyjazdow doroslych"
886;"cj4.3";"rezygnacja z: wyjazdow rodzinnych"
887;"cj5";"w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb Pan(i) gospodarstwa domowego zwiazanych z wypoczynkiem:"
888;"ck1";"w ostatnim roku Pan(i) lub inny czlonek gospodarstwa domowego zmienil lekarza pierwszego kontaktu?"
889;"ck2.1";"zmiana:nowy przyjmuje blizej domu"
890;"ck2.2";"zmiana:poprzedni odszedl z pracy"
891;"ck2.3";"zmiana:nowy lepiej traktuje pacjentow"
892;"ck2.4";"zmiana:poprzedni poswiecal pacjentom zbyt malo czasu"
893;"ck2.5";"zmiana:nowyma wieksza mozliwosc ulatwienia dostepu do innych swiadczen medycznych"
894;"ck2.6";"zmiana:w miejscu pracy nowego lekarza jest lepsze wyposazenie"
895;"ck2.7";"zmiana:do nowego lekarza pierwszego kontaktu latwiej sie dostac, krocej sie czeka"
896;"ck2.8";"zmiana:inne powody"
897;"ck3.1";"placowek sluzby zdrowia oplacanych przez Narodowy Fundusz Zdrowia"
898;"ck3.2";"placowek sluzby zdrowia oplacanych przez osobe spoza gosp. domowego"
899;"ck3.3";"placowek, w ktorych trzeba placic z wlasnej kieszeni"
900;"ck3.4";"placowek oplacanych przez pracodawce, ktorywykupil abonament"
901;"ck3.5";"placowek oplacanych przez instytucje dobroczynne"
